0.06546	0.02386	0.12892	0.02848	0.09398	0.03442	0.18475	0.04425	3.437	0.0535	12.22	0.896
0.09592	0.0	0.17843	0.04945	0.0	0.0	0.21156	0.05557	3.4342	0.051	11.98	0.911
0.10397	0.03661	0.18161	0.04967	0.12432	0.04706	0.21397	0.05691	3.9602	0.0253	11.77	0.839
0.10176	0.03649	0.18149	0.04944	0.11057	0.04076	0.20097	0.05011	3.4915	0.0211	10.52	0.833
0.07599	0.02746	0.14607	0.03698	0.09572	0.03356	0.17839	0.05334	3.9328	0.0518	11.97	0.686
0.10549	0.03977	0.19443	0.05018	0.07366	0.02755	0.14261	0.0352	3.4456	0.0457	10.02	0.932
0.07448	0.0	0.14456	0.03494	0.0	0.0	0.19225	0.05301	3.5852	0.0423	10.86	0.932
0.10589	0.03812	0.18969	0.0481	0.07018	0.0243	0.13458	0.03268	3.8015	0.0226	7.44	0.866
0.04523	0.01646	0.08824	0.02405	0.13903	0.05076	0.24739	0.06411	3.5857	0.0486	11.16	0.828
0.09651	0.0343	0.17924	0.04534	0.06873	0.02412	0.13665	0.03727	4.0579	0.0387	12.37	0.664
0.12869	0.0	0.23097	0.05437	0.0	0.0	0.10189	0.02727	3.7873	0.0578	13.63	0.75
0.09549	0.03442	0.16931	0.04494	0.10341	0.0377	0.18618	0.04679	3.7812	0.0253	12.23	0.715
0.08659	0.0	0.16004	0.04137	0.0	0.0	0.14674	0.03767	3.628	0.059	12.5	0.86
0.07131	0.02682	0.13727	0.03098	0.0894	0.03357	0.16364	0.04043	3.6	0.0543	11.03	0.807
0.06957	0.0251	0.13503	0.03101	0.08095	0.02927	0.14618	0.03617	3.7779	0.013	9.63	0.78
0.08335	0.02938	0.16002	0.04161	0.12251	0.04538	0.21805	0.0571	3.6039	0.0291	10.25	0.803
0.09093	0.03444	0.16857	0.03919	0.0861	0.03165	0.15582	0.04026	3.6978	0.0262	13.01	0.722
0.09091	0.0	0.15751	0.04186	0.0	0.0	0.12769	0.02922	4.1238	0.0255	11.03	0.841
0.09857	0.03429	0.16776	0.03539	0.04072	0.01289	0.07768	0.01689	3.5927	0.0345	12.31	0.819
0.0669	0.02404	0.13371	0.03348	0.10719	0.03903	0.20045	0.05233	2.8661	0.1385	12.18	1.0
0.07761	0.0	0.14263	0.03807	0.0	0.0	0.1767	0.04578	3.5229	0.0264	10.86	0.775
0.08301	0.02955	0.15694	0.04122	0.12052	0.04535	0.21614	0.05316	3.574	0.043	9.33	0.798
0.10894	0.03929	0.19206	0.05319	0.09834	0.03549	0.18177	0.04568	3.6994	0.0522	11.65	0.8
0.06303	0.02193	0.12096	0.03237	0.0858	0.03161	0.16773	0.04352	3.6252	0.025	8.79	0.803
0.09144	0.03353	0.16818	0.04287	0.11374	0.0443	0.21018	0.05109	3.6135	0.0335	12.59	0.769
0.09211	0.0	0.17106	0.04578	0.0	0.0	0.14375	0.03062	3.5339	0.0467	13.63	0.873
