7.216678847171765554e+00,1.426705831103594645e-04,1.062721681554239456e-03,2.751335993589145712e-01,3.976927983537417377e-06
7.396700945006757788e-01,1.194204480522828484e-04,-8.240491959835671842e-02,6.484863062946816248e-01,-1.122455381944270637e-05
2.680529527957000724e+00,1.925728399163768043e-03,7.924697315822175347e-03,3.425235835897279257e-02,1.194284607517967891e-03
2.791361862443952901e+00,1.781757675606655063e-04,-2.407785679356139880e-02,8.147919019299103560e-01,-1.469724392438838849e-05
1.100936748732712772e-01,8.401669515425343529e-03,1.495807211184389460e-02,9.287414217757079538e-01,1.489734137949943343e-05
7.327907981657322267e-01,8.879202269502460814e-04,-1.479579616796268321e-03,1.494702957336696732e-02,-6.440764240951407508e-05
2.157707062732107106e-01,1.075607794103744638e-04,3.294699899850128677e-02,8.491393371937895618e-02,9.004991888173647236e-06
4.283272706639254523e-01,2.232309837712475047e-04,4.333067413024271203e-02,8.278088052248806505e-01,5.004902289813346739e-06
2.176737235927781455e+00,7.558599307312012690e-03,1.466658657658608672e-02,2.260129627836000160e-02,1.067684730261292056e-02
3.069660297439411600e+00,3.254785958385022658e-04,1.565183982181672954e-03,7.543178971695140012e-02,2.073116621060569872e-05
1.687122307850942304e+00,1.939412630837862746e-04,-6.902391582668049134e-03,7.766658255093188135e-02,-2.907918198995059625e-05
4.602513603728012548e+00,5.951057828370179791e-03,7.365158234318655746e-03,3.078401742685961673e-01,6.553088554939346527e-04
2.449080492912799389e+00,4.085185522837542324e-04,1.910719987095039693e-02,9.979218106504979258e-02,1.915646520771092389e-04
1.456251488655528892e+00,7.579269180842011094e-03,-1.273137836958586865e-02,1.338413797334451760e-01,-1.049901930174401915e-03
1.461850153847877309e-01,4.148503527922436343e-04,4.026464185259239631e-02,7.491178086540094538e-01,3.259628005191873227e-06
1.033360035540737076e+00,5.936461219568860788e-04,-3.435096844736142130e-02,2.243167633523056037e-01,-9.394129704232091673e-05
3.064904086135332717e-01,1.594166470274700472e-04,4.217972137476502792e-02,1.454896908440280086e-02,1.416517825945187465e-04
4.786274710039154279e+00,5.366506095912360573e-04,-1.203678302019627402e-02,9.621759768708613991e-02,-3.213254843794258555e-04
